"","Time","Milwaukee","","Score","","Boston"
"274","5:08.0","","","63-69","+3","M. Smart makes 3-pt jump shot from 26 ft (assist by J. Brown)"
"275","4:56.0","Milwaukee full timeout","","63-69","",""
"276","4:56.0","G. Allen enters the game for G. Antetokounmpo","","63-69","",""
"277","4:56.0","B. Lopez enters the game for W. Matthews","","63-69","",""
"278","4:56.0","","","63-69","","D. Theis enters the game for A. Horford"
"279","4:56.0","","","63-69","","D. White enters the game for J. Tatum"
"280","4:41.0","B. Portis misses 2-pt hook shot from 12 ft","","63-69","",""
"281","4:39.0","","","63-69","","Defensive rebound by D. White"
"282","4:24.0","","","63-71","+2","D. Theis makes 2-pt layup from 2 ft (assist by J. Brown)"
"283","4:07.0","G. Allen makes 2-pt layup from 2 ft (assist by J. Holiday)","+2","65-71","",""
"284","4:07.0","Shooting foul by D. Theis (drawn by G. Allen)","","65-71","",""
"285","4:07.0","G. Allen makes free throw 1 of 1","+1","66-71","",""
"286","3:54.0","","","66-71","","Turnover by J. Brown (lost ball; steal by B. Portis)"
"287","3:51.0","Shooting foul by M. Smart (drawn by B. Portis)","","66-71","",""
"288","3:51.0","B. Portis makes free throw 1 of 2","+1","67-71","",""
"289","3:51.0","B. Portis makes free throw 2 of 2","+1","68-71","",""
"290","3:34.0","","","68-73","+2","J. Brown makes 2-pt jump shot from 18 ft"
"291","3:15.0","J. Holiday misses 2-pt jump shot from 18 ft","","68-73","",""
"292","3:13.0","","","68-73","","Defensive rebound by J. Brown"
"293","3:11.0","","","68-73","","Shooting foul by G. Allen (drawn by J. Brown)"
"294","3:11.0","","","68-74","+1","J. Brown makes free throw 1 of 2"
"295","3:11.0","","","68-75","+1","J. Brown makes free throw 2 of 2"
"296","2:54.0","J. Holiday makes 2-pt jump shot from 14 ft","+2","70-75","",""
"297","2:39.0","","","70-75","","D. White misses 3-pt jump shot from 27 ft"
"298","2:37.0","Defensive rebound by J. Holiday","","70-75","",""
"299","2:25.0","J. Holiday misses 2-pt jump shot from 10 ft","","70-75","",""
"300","2:22.0","","","70-75","","Defensive rebound by G. Williams"
"301","2:14.0","","","70-78","+3","M. Smart makes 3-pt jump shot from 26 ft"
"302","2:04.0","J. Holiday misses 2-pt jump shot from 5 ft","","70-78","",""
"303","2:04.0","","","70-78","","Defensive rebound by Team"
"304","2:04.0","G. Antetokounmpo enters the game for J. Holiday","","70-78","",""
"305","2:04.0","G. Hill enters the game for B. Lopez","","70-78","",""
"306","2:04.0","","","70-78","","A. Horford enters the game for D. Theis"
"307","1:52.0","","","70-81","+3","J. Brown makes 3-pt jump shot from 27 ft (assist by D. White)"
"308","1:35.0","G. Antetokounmpo makes 2-pt dunk from 2 ft","+2","72-81","",""
"309","1:16.0","","","72-83","+2","J. Brown makes 2-pt jump shot from 16 ft"
"310","1:05.0","Personal foul by G. Williams (drawn by G. Antetokounmpo)","","72-83","",""
"311","1:05.0","G. Antetokounmpo makes free throw 1 of 2","+1","73-83","",""
"312","1:05.0","W. Matthews enters the game for G. Allen","","73-83","",""
"313","1:05.0","G. Antetokounmpo makes free throw 2 of 2","+1","74-83","",""
"314","0:52.0","","","74-83","","J. Brown misses 2-pt jump shot from 17 ft (block by P. Connaughton)"
"315","0:49.0","","","74-83","","Offensive rebound by Team"
"316","0:49.0","Jump ball: J. Brown vs. P. Connaughton (G. Williams gains possession)","Jump ball: J. Brown vs. P. Connaughton (G. Williams gains possession)","Jump ball: J. Brown vs. P. Connaughton (G. Williams gains possession)","Jump ball: J. Brown vs. P. Connaughton (G. Williams gains possession)","Jump ball: J. Brown vs. P. Connaughton (G. Williams gains possession)"
"317","0:41.0","","","74-86","+3","J. Brown makes 3-pt jump shot from 28 ft"
"318","0:34.0","G. Antetokounmpo makes 3-pt jump shot from 26 ft","+3","77-86","",""
"319","0:15.0","","","77-86","","J. Brown misses 3-pt jump shot from 29 ft"
"320","0:11.0","","","77-86","","Offensive rebound by G. Williams"
"321","0:04.0","","","77-86","","M. Smart misses 3-pt jump shot from 25 ft"
"322","0:01.0","Defensive rebound by B. Portis","","77-86","",""
"323","0:00.0","B. Portis misses 3-pt jump shot from 53 ft","","77-86","",""
"324","0:00.0","Offensive rebound by Team","","77-86","",""
"325","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"326","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"327","Time","Milwaukee","","Score","","Boston"
"328","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"329","11:44.0","Turnover by G. Allen (out of bounds lost ball)","","77-86","",""
"330","11:33.0","","","77-86","","Turnover by G. Williams (lost ball; steal by W. Matthews)"
"331","11:29.0","Shooting foul by J. Tatum (drawn by B. Portis)","","77-86","",""
"332","11:29.0","B. Portis makes free throw 1 of 2","+1","78-86","",""
"333","11:29.0","B. Portis makes free throw 2 of 2","+1","79-86","",""
"334","11:15.0","","","79-88","+2","A. Horford makes 2-pt dunk from 2 ft (assist by D. White)"
"335","11:04.0","G. Antetokounmpo misses 2-pt jump shot from 12 ft","","79-88","",""
"336","11:03.0","","","79-88","","Defensive rebound by A. Horford"
"337","11:01.0","","","79-90","+2","J. Tatum makes 2-pt layup from 2 ft (assist by A. Horford)"
"338","11:01.0","","","79-90","","Shooting foul by G. Hill (drawn by J. Tatum)"
"339","11:01.0","J. Holiday enters the game for B. Portis","","79-90","",""
"340","11:01.0","","","79-91","+1","J. Tatum makes free throw 1 of 1"
"341","10:48.0","Offensive foul by G. Antetokounmpo (drawn by G. Williams)","","79-91","",""
